qid,qstr
citeseerx-q1,ontology
citeseerx-q10,kalman filter
citeseerx-q100,information security
citeseerx-q101,wikipedia
citeseerx-q102,constraint-handling in evolutionary optimization
citeseerx-q103,cloud computing
citeseerx-q104,an ontology-based data mediation framework for semantic environments
citeseerx-q105,the economics of social network
citeseerx-q106,online uyghur recognition
citeseerx-q107,handwritten overlap character recognition
citeseerx-q108,twins functioning as half of a whole
citeseerx-q109,blended wing aerodynamic
citeseerx-q11,spineless tagless g-machine
citeseerx-q110,principal component analysis artificial neural network and river water quality analysis
citeseerx-q111,multiobjective optimization and multiple constraint handling with evolutionary algorithms
citeseerx-q112,haar-like feature svm
citeseerx-q113,shallow water acoustic networks
citeseerx-q114,aubry-mather theory and pdes
citeseerx-q115,augmented reality
citeseerx-q116,6lowpan autoconfiguration
citeseerx-q117,curved channel
citeseerx-q118,survey network optimization
citeseerx-q119,contagion
citeseerx-q12,data mining
citeseerx-q120,numerical simulation of turbulent free-surface flow in curved channel
citeseerx-q121,twitter
citeseerx-q122,face detection
citeseerx-q123,youtube
citeseerx-q124,face recognition
citeseerx-q125,semantic web
citeseerx-q126,social cognitive theory
citeseerx-q127,evaluation and validation of canopy laser radar systems for native and platation fores inventory
citeseerx-q128,improved routing wasps for distributed factory control
citeseerx-q129,experimental airpath control
citeseerx-q13,database intrusion detection
citeseerx-q130,quaternion-based kalman filter code
citeseerx-q131,wireless sensor network
citeseerx-q132,simultaneous color constancy
citeseerx-q133,overcoming the internet impasse through virtualization
citeseerx-q134,mobile learning
citeseerx-q135,change management
citeseerx-q136,uniform 2 price auctions:evaluation of the treasury experience
citeseerx-q137,e-banking service
citeseerx-q138,word reading comprehension
citeseerx-q139,ecg heartbeat classification 2010
citeseerx-q14,a primer on cointegration with an application to money and income
citeseerx-q140,large scale l1 regularized least squares problems
citeseerx-q141,voip
citeseerx-q142,sar gis earthquake
citeseerx-q143,an edge guided compressive sensing recons truction
citeseerx-q144,analysis of aster multispectral stereo imagery to produce dem and land cover databases for greek
citeseerx-q145,piston engine for aircraft pdf
citeseerx-q146,facebook privacy
citeseerx-q147,hao chen algebraic geometric
citeseerx-q148,mesenchymal stem cells
citeseerx-q149,rfid
citeseerx-q15,semantic search
citeseerx-q150,blended learning
citeseerx-q151,mapreduce
citeseerx-q152,mobile marketing
citeseerx-q153,principles of marketing
citeseerx-q154,the policy sciences of democracy
citeseerx-q155,variance
citeseerx-q156,online reviews fraud
citeseerx-q157,performance limitations and self-sensing magnetic bearings
citeseerx-q158,wavelet denoise
citeseerx-q159,structured light
citeseerx-q16,ontology driven data mediation in web services
citeseerx-q160,e-commerce
citeseerx-q161,artificial intelligence
citeseerx-q162,online dating
citeseerx-q163,management information system
citeseerx-q164,business process management
citeseerx-q165,communication
citeseerx-q166,support vector machine
citeseerx-q167,social responsibility of media
citeseerx-q168,a novel approach for efficient search in graph databases.
citeseerx-q169,derivatives of complex absolute function
citeseerx-q17,vessel axis tracking using topology constrained surface evolution
citeseerx-q170,meta pattern
citeseerx-q171,probability ï¼theory and example
citeseerx-q172,self-organizing maps
citeseerx-q173,mpeg video watermarking with a fuzzy algorithm
citeseerx-q174,p2p chord delay optimize
citeseerx-q175,internet of things
citeseerx-q176,gpu cluster
citeseerx-q177,contract outsourcing
citeseerx-q178,image registration
citeseerx-q179,background model
citeseerx-q18,blind deconvolution of im-ages using optimal sparse representations
citeseerx-q180,matlab
citeseerx-q181,compressive sensing
citeseerx-q182,global optimization of weighted mutual infoemation for multi-modality image registration
citeseerx-q183,compressed sensing
citeseerx-q184,virtualization
citeseerx-q185,gradient mesh
citeseerx-q186,determining lyapunov exponents from a time series
citeseerx-q187,application of oop
citeseerx-q188,high-order/spectral methods on unstructured grids in. time-domain solution
citeseerx-q189,vocational education in resent years
citeseerx-q19,ajax
citeseerx-q190,a formal data model for ids alert correlation
citeseerx-q191,scrum
citeseerx-q192,atomic decomposition by basis pursuit
citeseerx-q193,climate change perception
citeseerx-q194,multiplicative noise denoising
citeseerx-q195,one measure of segregationï¼
citeseerx-q196,cognitive radio
citeseerx-q197,pagerank
citeseerx-q198,high-lift
citeseerx-q199,continuum robot
citeseerx-q2,online arabic recognition
citeseerx-q20,social networking
citeseerx-q200,website design
citeseerx-q201,non planar wing
citeseerx-q202,review of research relevant to rail competition for short-haul air routes
citeseerx-q203,rock stress relief
citeseerx-q204,a novel approach for efficient search in graph databases
citeseerx-q205,a scalable approach to attack graph generation
citeseerx-q206,locality-sensitive hashing
citeseerx-q207,high-order/spectral methods on unstructured grids in time-domain solution
citeseerx-q208,object detection
citeseerx-q209,data warehouse
citeseerx-q21,learning styles
citeseerx-q210,risk management
citeseerx-q211,stroop effect
citeseerx-q212,phishing
citeseerx-q213,clustering
citeseerx-q214,quanan zheng
citeseerx-q215,mobile computing
citeseerx-q216,distinguishing paintings from photographs
citeseerx-q217,online shopping
citeseerx-q218,compare qr and jacobi
citeseerx-q219,observational learning consumer
citeseerx-q22,network-on-chip concept
citeseerx-q220,tdrs rendezvous docking
citeseerx-q221,ecc on gf(2n) for normal basis
citeseerx-q222,overview of transactional memory
citeseerx-q223,myspace
citeseerx-q224,uncertainty propagation in an integrated land use-transportation modeling framework output variation via urbansim
citeseerx-q225,cumani
citeseerx-q226,processing of laser scanning data for wooded areas
citeseerx-q227,sensor network
citeseerx-q228,text mining
citeseerx-q229,elearning
citeseerx-q23,genetic algorithm
citeseerx-q230,user centered design
citeseerx-q231,internet
citeseerx-q232,social networking sites
citeseerx-q233,ant colony optimization
citeseerx-q234,compressive sensing nonlocal
citeseerx-q235,reinforcement learning
citeseerx-q236,principal component analysis
citeseerx-q237,object tracking
citeseerx-q238,embedded system
citeseerx-q239,information retrieval
citeseerx-q24,charge pump
citeseerx-q240,information system
citeseerx-q241,super resolution
citeseerx-q242,markowitz portfolio theory
citeseerx-q243,e-learning
citeseerx-q244,qualitative content analysis
citeseerx-q245,smalltalk: a reflective language
citeseerx-q246,wavelet
citeseerx-q247,machine learning
citeseerx-q248,acoustic interactions of the voice source with the lower vocal tract
citeseerx-q249,description of the flow through in-vitro models of the glottis during phonation
citeseerx-q25,network trust computer based
citeseerx-q250,nanohandling biomedical application
citeseerx-q251,watermark
citeseerx-q252,labview
citeseerx-q253,aggregated queris processing
citeseerx-q254,vawt
citeseerx-q255,electronic commerce
citeseerx-q256,query expansion
citeseerx-q257,animation
citeseerx-q258,viral marketing
citeseerx-q259,the internet of things
citeseerx-q26,green marketing
citeseerx-q260,capital structure
citeseerx-q261,selective fusion of heterogeneous classifiers
citeseerx-q262,an analysis of tower controller-pilot voice communications
citeseerx-q263,eye tracking
citeseerx-q264,transforming growth factor-beta fibrosis
citeseerx-q265,camera calibration
citeseerx-q266,web service category
citeseerx-q267,digital library
citeseerx-q268,information extraction
citeseerx-q269,network on chip
citeseerx-q27,rocker-bogie suspension system
citeseerx-q270,cognitive radio beamforming sinr
citeseerx-q271,procrastination
citeseerx-q272,object tracking a survey
citeseerx-q273,business
citeseerx-q274,online learning
citeseerx-q275,mean shift
citeseerx-q276,speech acts
citeseerx-q277,simics
citeseerx-q278,gesture recognition
citeseerx-q279,linux
citeseerx-q28,limited communication multi-robot team based coverage
citeseerx-q280,on the asymptotic theory of the bootstrap
citeseerx-q281,workflow
citeseerx-q282,comparative analysis of multi-item online auctions:evidence from the lab
citeseerx-q283,blog
citeseerx-q284,lbac
citeseerx-q285,fast motion saliency
citeseerx-q286,operating system
citeseerx-q287,jiawei han
citeseerx-q288,software engineering
citeseerx-q289,value at risk
citeseerx-q29,arsenic adult neurogenesis
citeseerx-q290,virtual reality
citeseerx-q291,wireless intelligent street light control system
citeseerx-q292,tdoa and time delay estimation
citeseerx-q293,phonetics and phonology
citeseerx-q294,mimo
citeseerx-q295,network
citeseerx-q296,management
citeseerx-q297,trust
citeseerx-q298,intelligent transportation system
citeseerx-q299,adult learning theory
citeseerx-q3,d34 v0.1 the web compliance of wsml
citeseerx-q30,collaborative learning
citeseerx-q300,indoor navigation for unmanned aerial vehicles
citeseerx-q301,tsunami run-up and draw-down on a plane beach
citeseerx-q302,a new approach to linear filtering and prediction problems
citeseerx-q303,bittorrent
citeseerx-q304,rssi
citeseerx-q305,sudoku
citeseerx-q306,unemployment in egypt
citeseerx-q307,analysis of chaotic systems using the cell mapping approach
citeseerx-q308,gene therapy
citeseerx-q309,group buying
citeseerx-q31,review of research relevant to rail competition for short-haul air routes.
citeseerx-q310,motion saliency
citeseerx-q311,user interface design
citeseerx-q312,model goodness of fit: a multiple resolution procedure
citeseerx-q313,recommender system
citeseerx-q314,global warming
citeseerx-q315,xml
citeseerx-q316,the lasso method for variable selection in the cox
citeseerx-q317,history of the internet
citeseerx-q318,a practical method for constructing lr processors
citeseerx-q319,a broker-based framework for qos-aware
citeseerx-q32,journal for mathematics mobile learning
citeseerx-q320,recent research paper on mimo system
citeseerx-q321,fpga
citeseerx-q322,efficient market hypothesis
citeseerx-q323,education
citeseerx-q324,grid computing
citeseerx-q325,decision making
citeseerx-q326,positive psychology
citeseerx-q327,natural resource management and sustainable agriculture community assessors
citeseerx-q328,nanotechnology
citeseerx-q329,particle swarm optimization
citeseerx-q33,quantum genetic kmeans
citeseerx-q330,mobile commerce
citeseerx-q331,large deviation resource allocation
citeseerx-q332,speech recognition
citeseerx-q333,drifts and volatilities: monetary policies and outcomes
citeseerx-q334,detecting communities in social networks using max-min modularity
citeseerx-q335,three dimensional hydroelastic water entry: preliminary results
citeseerx-q336,multicast
citeseerx-q337,cfl3d
citeseerx-q338,likert scale
citeseerx-q339,motion adaptive scan rate up-conversion
citeseerx-q34,calibration and empirical bayes variable selection
citeseerx-q340,robonaut
citeseerx-q341,target tracking
citeseerx-q342,hidden markov model
citeseerx-q343,outsourcing
citeseerx-q344,the effect of spaceborne microwave and ground-based continuous lighting measurements on forecasts of the 1998 groundhog- day storm
citeseerx-q345,age-of-acquisition effects in word and picture identification
citeseerx-q346,plagiarism
citeseerx-q347,convolutional deep belief networks for scalable unsupervised learing of hierarchial representation
citeseerx-q348,collaborative filtering
citeseerx-q349,embodied cognition
citeseerx-q35,asif ekbal rejwanul haque amitava das venkateswarlu poka and sivaji bandyopadhyay language independent named entity recognition in indian languages
citeseerx-q350,the complexity of approximating the entropy
citeseerx-q351,gpu + fluid + dynamics
citeseerx-q352,knowledge sharing
citeseerx-q353,sociedade da informaÃ§Ã£o
citeseerx-q354,cost-benefit analysis of e-learning
citeseerx-q355,but as discourse marker
citeseerx-q356,steganography
citeseerx-q357,crowdsourcing
citeseerx-q358,opinion mining
citeseerx-q359,latent semantic analysis
citeseerx-q36,normalization 3d
citeseerx-q360,tcp unfairness in ad hoc wireless networks and a neighborhood red solution
citeseerx-q361,microfinance
citeseerx-q362,semidefinite programming for ad hoc wireless sensor network localization
citeseerx-q363,iris recognition
citeseerx-q364,causes of corruption
citeseerx-q365,real time large deformation character skinning in graphics hardware
citeseerx-q366,pdf on ray tracing model for mimo
citeseerx-q367,communication patterns in vanets
citeseerx-q368,cloud computing fault tolerance or reliability or virtualization
citeseerx-q369,uav taiwan research
citeseerx-q37,"rock ""stress relief"""
citeseerx-q370,text classification
citeseerx-q371,ieee transactions on
citeseerx-q372,moodle
citeseerx-q373,ddos
citeseerx-q374,virtual community
citeseerx-q375,real-time matching survey
citeseerx-q376,weiss et al 2007
citeseerx-q377,facebook and privacy
citeseerx-q378,theoretical analysis of maximum flow declination rate versus maximum area declination rate in phonation
citeseerx-q379,online social networks
citeseerx-q38,adaptive sampling
citeseerx-q380,a generic information platform for product families
citeseerx-q381,review machine translation
citeseerx-q382,model for broadband internet on the train
citeseerx-q383,childhood obesity
citeseerx-q384,decision tree
citeseerx-q385,information systems
citeseerx-q386,a w knapp
citeseerx-q387,corruption
citeseerx-q388,robust global motion estimation
citeseerx-q389,gradient-based learning applied recognition
citeseerx-q39,facial expression analysis and synthesis---a survey
citeseerx-q390,content-based video retrieval
citeseerx-q391,wimax
citeseerx-q392,adaptive autorgressive model
citeseerx-q393,mobile search
citeseerx-q394,business intelligence
citeseerx-q395,quadrotor
citeseerx-q396,change blindness
citeseerx-q397,particle filter
citeseerx-q398,inventory management
citeseerx-q399,wiki
citeseerx-q4,facebook
citeseerx-q40,transportation
citeseerx-q400,microblog
citeseerx-q401,fuzzy system and knowledge engineering
citeseerx-q402,patient safety
citeseerx-q403,[pdf] a survey of wormhole routing techniques
citeseerx-q404,pervasive computing
citeseerx-q405,benchmarking
citeseerx-q406,web 1.0
citeseerx-q407,organizational performance +sustainable competitive advantage / libyan arab jamahiriya
citeseerx-q408,software as a service
citeseerx-q409,user generate content
citeseerx-q41,fingerprint recognition
citeseerx-q410,financial crisis
citeseerx-q411,boundary effect ad hoc network
citeseerx-q412,action research
citeseerx-q413,component deployment qos
citeseerx-q414,genetic algorithms
citeseerx-q415,social health insurance
citeseerx-q416,finite state promela
citeseerx-q417,automatic face recognition
citeseerx-q418,supply chain
citeseerx-q419,implementation research
citeseerx-q42,content analysis
citeseerx-q420,brittle fracture in polycrystalline microstructures with the extended finite element method
citeseerx-q421,benefits of video games
citeseerx-q422,cpu
citeseerx-q423,representing and recognizing the
citeseerx-q424,pyroprocessing technology in korea
citeseerx-q425,financial crisis 2008
citeseerx-q426,genetic programming
citeseerx-q427,m-learning
citeseerx-q428,music retrieval
citeseerx-q429,e-business
citeseerx-q43,feature selection
citeseerx-q430,fast and robust fixed-point algorithm
citeseerx-q431,wireless network security
citeseerx-q432,adam galinsky
citeseerx-q433,blogging
citeseerx-q434,xen
citeseerx-q435,combined forecast
citeseerx-q436,java
citeseerx-q437,license plate recognition system
citeseerx-q438,learning style
citeseerx-q439,human motion capture
citeseerx-q44,qt tcp socket file transfer
citeseerx-q440,learning to rank
citeseerx-q441,edge detection
citeseerx-q442,on the evolution of random graphs
citeseerx-q443,recursive newton-euler algorithm
citeseerx-q444,second language acquisition
citeseerx-q445,connectivism
citeseerx-q446,mean shift edge tracking
citeseerx-q447,appearance-based face recognition and light field
citeseerx-q448,botnet
citeseerx-q449,image processing
citeseerx-q45,precise slow motion control of a direct-drive robot arm with velocity estimation and friction compensation
citeseerx-q450,a survey on context-aware systems
citeseerx-q451,intrusion detection system
citeseerx-q452,return on investment
citeseerx-q453,stereo vision
citeseerx-q454,ad hoc sensor wireless networks
citeseerx-q455,agile software development
citeseerx-q456,smartcam
citeseerx-q457,support vector machines
citeseerx-q458,adaboost
citeseerx-q459,fingerprint image enhancement: algorithm and performance evaluation
citeseerx-q46,social media
citeseerx-q460,social networking services
citeseerx-q461,tio2 p1 symmetry castep
citeseerx-q462,enterprise architecture
citeseerx-q463,mirror neurons and the social nature of language: the neural
citeseerx-q464,metadata
citeseerx-q465,multimedia
citeseerx-q466,spatial data mining
citeseerx-q467,software testing
citeseerx-q468,ray tracing method
citeseerx-q469,semuadalamjudul: support vector machine -lecture -handout -resume -curriculum -vitae -poster -guide -call -linux
citeseerx-q47,knowledge management
citeseerx-q470,surveillance uav aerodynamic
citeseerx-q471,history insurance uk
citeseerx-q472,improving specificity in pdms using a
citeseerx-q473,netflix
citeseerx-q474,video games in education
citeseerx-q475,image processing cluster analysis
citeseerx-q476,a
citeseerx-q477,investigations of c/a code and carrier measurements and techniques for rapid static gps surveys
citeseerx-q478,cyber physical system
citeseerx-q479,object recognition
citeseerx-q48,active learning
citeseerx-q480,microblogging
citeseerx-q481,conditional random fields
citeseerx-q482,service oriented architecture
citeseerx-q483,neural network function approximation
citeseerx-q484,distributed energy generation and sustainable development
citeseerx-q485,yossi matias
citeseerx-q486,asymptotically optimum detection of primary user in cognitive radio networks[
citeseerx-q487,file sharing
citeseerx-q488,curriculum design theory engineering
citeseerx-q489,privacy preserving data mining
citeseerx-q49,time management
citeseerx-q490,savage 1954
citeseerx-q491,unemployment
citeseerx-q492,the small world of the cerebral cortex
citeseerx-q493,object tracking with self-updating tracking window
citeseerx-q494,the 5-ghz airport surface area channelâpart ii: measurement and modeling results for
citeseerx-q495,landmarks localization
citeseerx-q496,integer promotion
citeseerx-q497,multi agent search
citeseerx-q498,author: schneidman intitle: ion channel stochasticity may be critical in determining
citeseerx-q499,annual review stall surge
citeseerx-q5,online reviews: do consumers use them?
citeseerx-q50,image segmentation
citeseerx-q500,particle swarm genetic algorithm their hybrids optimization profiled
citeseerx-q501,albedo
citeseerx-q502,directions to acknowledge learnersâ self-organization in cscl macro-scripts
citeseerx-q503,monitoring and evaluation
citeseerx-q504,mobile payment
citeseerx-q505,cryptography
citeseerx-q506,modular design
citeseerx-q507,recommendation system
citeseerx-q508,italian clitics
citeseerx-q509,research methodology yuserrie zainuddin
citeseerx-q51,concepts and implementation of the philips net-work-on-chip
citeseerx-q510,think globally fit locally:unsupervised learning of low dimensional manifolds
citeseerx-q511,constructing rfid flowcubes for multi-dimensional analysis of commodity flows
citeseerx-q512,model predictive control
citeseerx-q513,measure of segregation
citeseerx-q514,adaptive scene-based non-uniformity correction methodfor infrared-focal plane arrays
citeseerx-q515,resolvent restriction reserve in dynamic economic dispatch
citeseerx-q516,opnet
citeseerx-q517,evolutionary clustering
citeseerx-q518,underwater dynamic positioning
citeseerx-q519,experiential learning
citeseerx-q52,digital divide
citeseerx-q520,internet security filetype:pdf
citeseerx-q521,bayesian network
citeseerx-q522,diego puga
citeseerx-q523,non-negative matrix factorization
citeseerx-q524,iterative ray-tracing
citeseerx-q525,character segmentation
citeseerx-q526,environmental assessment of international transportation of products
citeseerx-q527,implicit association test
citeseerx-q528,skin face detection time complexity
citeseerx-q529,security pol icy confl icts detection
citeseerx-q53,web 2.0
citeseerx-q530,manifold surface point clouds
citeseerx-q531,a subjective study to evaluate video quality assessment
citeseerx-q532,optical flow
